GSet Insert Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Orswot Insert Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
GCounter Increment Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
PNCounter Increment Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
LWWReg Set Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Set Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Map Insert Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
List Insert Avg Memory Usage: Physical: 185.06 bytes, Virtual: 194.28 bytes
GList Insert Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
GSet Multiple Insert 50 Avg Memory Usage: Physical: 0.01 bytes, Virtual: 0.00 bytes
Orswot Multiple Insert 50 Avg Memory Usage: Physical: 0.42 bytes, Virtual: 0.39 bytes
GCounter Multiple Increment 50 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
PNCounter Multiple Increment 50 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
LWWReg Multiple Set 50 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Multiple Set 50 Avg Memory Usage: Physical: 0.03 bytes, Virtual: 0.00 bytes
Map Multiple Insert 50 Avg Memory Usage: Physical: 0.39 bytes, Virtual: 0.19 bytes
List Multiple Insert 50 Avg Memory Usage: Physical: 0.53 bytes, Virtual: 0.00 bytes
GList Multiple Insert 50 Avg Memory Usage: Physical: 0.02 bytes, Virtual: 0.00 bytes
GSet Multiple Insert 100 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Orswot Multiple Insert 100 Avg Memory Usage: Physical: 0.54 bytes, Virtual: 0.81 bytes
GCounter Multiple Increment 100 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
PNCounter Multiple Increment 100 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
LWWReg Multiple Set 100 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Multiple Set 100 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Map Multiple Insert 100 Avg Memory Usage: Physical: 0.73 bytes, Virtual: 3.98 bytes
List Multiple Insert 100 Avg Memory Usage: Physical: 0.10 bytes, Virtual: 0.00 bytes
GList Multiple Insert 100 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 1.47 bytes
GSet Multiple Insert 150 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Orswot Multiple Insert 150 Avg Memory Usage: Physical: 2.46 bytes, Virtual: 3.07 bytes
GCounter Multiple Increment 150 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
PNCounter Multiple Increment 150 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
LWWReg Multiple Set 150 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Multiple Set 150 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Map Multiple Insert 150 Avg Memory Usage: Physical: 0.78 bytes, Virtual: 0.78 bytes
List Multiple Insert 150 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.11 bytes
GList Multiple Insert 150 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
GSet Multiple Insert 200 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Orswot Multiple Insert 200 Avg Memory Usage: Physical: 0.06 bytes, Virtual: 0.00 bytes
GCounter Multiple Increment 200 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
PNCounter Multiple Increment 200 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
LWWReg Multiple Set 200 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Multiple Set 200 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Map Multiple Insert 200 Avg Memory Usage: Physical: 1.57 bytes, Virtual: 1.57 bytes
List Multiple Insert 200 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
GList Multiple Insert 200 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
GSet Multiple Insert 250 Avg Memory Usage: Physical: 0.01 bytes, Virtual: 0.00 bytes
